Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,245000,043,    ,99990 ,00000 ,25552 ,444,15860, , ,81212      ,4,8,12,Fremont County Unincorporated Area,81,81,20266926,0,0,0,0,0,0,0,0,0,81,81,20266926,0,0,0,0,0,0,0,0,0
2024,08,247000,117,0500,28690 ,00000 ,2874 ,999,14720, , ,80443      ,4,8,12,Frisco town,18,18,19837370,0,0,0,0,0,0,0,0,0,18,18,19837370,0,0,0,0,0,0,0,0,0
2024,08,249000,077,0505,28745 ,00000 ,14295 ,999,24300,2, ,81521      ,4,8,11,Fruita,96,96,38152396,1,2,134424,12,48,1221282,1,5,599828,91,91,37397927,1,2,134424,12,48,1221282,0,0,0
2024,08,251000,123,0510,29185 ,00000 ,279 ,216,24540, , ,806318466  ,4,8,12,Garden City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,253000,045,    ,99990 ,00000 ,24455 ,233,40090, , ,81601      ,4,8,12,Garfield County Unincorporated Area,61,61,25314160,0,0,0,0,0,0,0,0,0,61,61,25314160,0,0,0,0,0,0,0,0,0
2024,08,257000,019,0520,29735 ,00000 ,1102 ,216,19740, , ,804440426  ,4,8,12,Georgetown town,3,3,1205998,0,0,0,0,0,0,0,0,0,3,3,1205998,0,0,0,0,0,0,0,0,0
2024,08,259000,123,0525,29955 ,00000 ,1169 ,216,24540, , ,806230128  ,4,8,12,Gilcrest town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,261000,047,    ,99990 ,00000 ,5374 ,216,19740, , ,80427      ,4,8,12,Gilpin County Unincorporated Area,19,19,9437062,0,0,0,0,0,0,0,0,0,19,19,9437062,0,0,0,0,0,0,0,0,0
2024,08,263000,005,0530,30340 ,00000 ,5102 ,216,19740, , ,80246      ,4,8,12,Glendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,265000,045,0535,30780 ,00000 ,10222 ,233,40090, , ,81601      ,4,8,12,Glenwood Springs,2,2,1070000,0,0,0,0,0,0,1,56,13980000,2,2,1070000,0,0,0,0,0,0,1,56,13980000
